feature,family,first_included_tier,source,units,description,calculation_from_raw_data,implementation,F0,F1,F2,F3,F4,F5,F6,F7,F8
market_spread_open,market,F7,cfbd_lines,points,Home-team opening spread retained as a market-movement comparator.,raw market value captured at the declared pregame prediction cutoff,src/gridiron_ml/td_run/market.py,,,,,,,,X,X
market_win_probability,market,F7,derived_market_snapshot,probability,Vig-adjusted home win probability at the declared cutoff.,vig-adjusted home win probability derived from the pre-deadline market snapshot,src/gridiron_ml/td_run/market.py,,,,,,,,X,X
offense_db_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_db_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_drives,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_drives; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_front_seven_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_front_seven_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_havoc_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_havoc_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_downs_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_downs_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_downs_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_downs_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_downs_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_downs_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_plays_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_plays_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_plays_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_plays_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_passing_plays_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_passing_plays_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_plays,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_plays; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_power_success,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_power_success; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_rushing_plays_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_rushing_plays_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_rushing_plays_ppa,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_rushing_plays_ppa; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_rushing_plays_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_rushing_plays_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_standard_downs_explosiveness,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_standard_downs_explosiveness; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_stuff_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_stuff_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
offense_success_rate,efficiency,F2,cfbd_stats_advanced,source_defined_rate,Leakage-safe prior-game offensive efficiency summary.,CFBD per-game advanced statistic offense_success_rate; cumulative team-season mean n^(-1) sum_g x_g,src/gridiron_ml/fingerprints/builders/v0.py,,,X,X,X,X,X,,X
opp_adj_v1_4_defense_explosiveness_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_explosiveness,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_explosiveness_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_explosiveness)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_explosiveness_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_explosiveness),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_havoc_rate_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_havoc_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_havoc_rate,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_havoc_rate_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_havoc_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_havoc_rate)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_havoc_rate_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_havoc_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_havoc_rate),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_power_success_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_power_success) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_power_success,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_power_success_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_power_success) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_power_success)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_power_success_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_power_success) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_power_success),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_ppa_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_ppa) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_ppa,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_ppa_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_ppa) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_ppa)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_ppa_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_ppa) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_ppa),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_stuff_rate_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_stuff_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_stuff_rate,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_stuff_rate_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_stuff_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_stuff_rate)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_stuff_rate_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_stuff_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_stuff_rate),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_success_rate_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_success_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for defense_success_rate,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_success_rate_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(defense_success_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(defense_success_rate)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_defense_success_rate_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(defense_success_rate) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(defense_success_rate),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_opponent_rating_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame sequential opponent Elo rating R_o; EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for elo_opponent_rating,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_opponent_rating_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"pregame sequential opponent Elo rating R_o; mean of the most recent min(3,n) adjusted game contributions a_g(elo_opponent_rating)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_opponent_rating_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame sequential opponent Elo rating R_o; cumulative mean through week w: n^(-1) sum_g a_g(elo_opponent_rating),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_rating_edge_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame Elo edge R_t - R_o; EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for elo_rating_edge,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_rating_edge_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"pregame Elo edge R_t - R_o; mean of the most recent min(3,n) adjusted game contributions a_g(elo_rating_edge)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_rating_edge_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame Elo edge R_t - R_o; cumulative mean through week w: n^(-1) sum_g a_g(elo_rating_edge),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_team_rating_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame sequential Elo rating R_t; EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for elo_team_rating,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_team_rating_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"pregame sequential Elo rating R_t; mean of the most recent min(3,n) adjusted game contributions a_g(elo_team_rating)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_elo_team_rating_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,pregame sequential Elo rating R_t; cumulative mean through week w: n^(-1) sum_g a_g(elo_team_rating),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_games_played,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,cumulative count of completed team-games in the team-season,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_offense_explosiveness_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(offense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for offense_explosiveness,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_offense_explosiveness_last3,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,"a_g(offense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); mean of the most recent min(3,n) adjusted game contributions a_g(offense_explosiveness)",src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_offense_explosiveness_mean_to_date,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(offense_explosiveness) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); cumulative mean through week w: n^(-1) sum_g a_g(offense_explosiveness),src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
opp_adj_v1_4_offense_passing_plays_ppa_ewm,opponent_adjusted,F3,derived_historical_games,source_defined,Opponent-adjusted value fit only on games before the target cutoff.,a_g(offense_passing_plays_ppa) = x_g - historical_mean(x) + 0.10 [R_o/sd(R)] historical_sd(x); EWM of adjusted contributions: e_w = 0.45 a_w + 0.55 e_(w-1) for offense_passing_plays_ppa,src/gridiron_ml/experiments/opponent_adjusted.py,,,,X,X,X,X,,X
